Timestamp,Specific Conductance (uS/cm),Temperature (C)
7/11/2017 16:00,204.8,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.8,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.8,25.1
7/11/2017 16:00,204.9,25.1
7/11/2017 16:00,204.9,25.2
7/11/2017 16:00,204.9,25.2
7/11/2017 16:01,204.8,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.8,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.8,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:01,204.8,25.2
7/11/2017 16:01,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.8,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:02,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,205,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,205,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:03,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,205,25.2
7/11/2017 16:04,205,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
7/11/2017 16:04,204.9,25.2
