Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:39,90.7,96.3,22
10/1/2016 11:39,90.8,96.3,22
10/1/2016 11:39,90.7,96.3,22
10/1/2016 11:39,90.8,96.3,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.3,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.3,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:39,90.8,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.8,96.4,22
10/1/2016 11:40,90.8,96.3,22
10/1/2016 11:40,90.9,96.4,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.5,22
10/1/2016 11:40,90.9,96.5,22
