"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Temperature (C)","Comment","Site","Folder","Unit ID"
"11/26/2016 10:04:08","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:09","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:10","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:11","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:12","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:13","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:14","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:15","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:16","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:17","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:18","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:19","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:20","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:21","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:22","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:23","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:24","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:25","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:26","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:27","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:28","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:29","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:30","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:31","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:32","117.9","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:33","117.8","127.4","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:34","117.9","127.5","21.1","","LYON","LYON","STD"
"11/26/2016 10:04:35","117.9","127.5","21.1","","LYON","LYON","STD"
