"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Dissolved Oxygen (mg/L)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"9/30/2017 09:48:40","136.7","144.1","5.55","7.41","22.3","","LYON","LYON","STD"
"9/30/2017 09:48:46","136.6","143.9","5.46","7.4","22.3","","LYON","LYON","STD"
"9/30/2017 09:48:51","136.5","143.8","5.43","7.39","22.3","","LYON","LYON","STD"
"9/30/2017 09:48:56","136.3","143.6","5.41","7.38","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:01","136.1","143.5","5.42","7.37","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:06","136.1","143.4","5.43","7.36","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:11","136","143.3","5.45","7.34","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:16","135.8","143.1","5.48","7.34","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:21","135.7","143","5.51","7.33","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:26","135.6","142.9","5.54","7.32","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:31","135.6","142.9","5.57","7.32","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:36","135.6","142.9","5.59","7.31","22.3","","LYON","LYON","STD"
"9/30/2017 09:49:41","135.6","142.9","5.59","7.3","22.4","","LYON","LYON","STD"
"9/30/2017 09:49:46","135.7","142.9","5.6","7.29","22.4","","LYON","LYON","STD"
"9/30/2017 09:49:51","135.8","143","5.61","7.29","22.4","","LYON","LYON","STD"
"9/30/2017 09:49:56","135.7","142.9","5.62","7.28","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:01","135.7","142.9","5.62","7.27","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:06","135.8","142.9","5.61","7.26","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:11","135.8","142.9","5.63","7.26","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:16","135.8","142.9","5.63","7.25","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:21","135.8","142.9","5.61","7.25","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:26","135.9","142.9","5.59","7.24","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:31","135.8","142.9","5.58","7.23","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:36","135.8","142.9","5.58","7.23","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:41","135.8","142.8","5.59","7.22","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:46","135.8","142.8","5.62","7.22","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:51","135.8","142.8","5.65","7.22","22.4","","LYON","LYON","STD"
"9/30/2017 09:50:56","135.8","142.8","5.69","7.21","22.4","","LYON","LYON","STD"
"9/30/2017 09:51:01","135.9","142.9","5.71","7.21","22.4","","LYON","LYON","STD"
"9/30/2017 09:51:06","135.9","142.8","5.68","7.2","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:11","135.8","142.8","5.69","7.2","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:16","135.9","142.8","5.7","7.19","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:21","136","142.9","5.7","7.19","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:26","135.9","142.8","5.7","7.18","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:31","135.9","142.9","5.7","7.18","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:36","135.9","142.8","5.74","7.18","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:41","135.9","142.8","5.77","7.17","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:46","136","142.8","5.8","7.17","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:51","136","142.8","5.82","7.17","22.5","","LYON","LYON","STD"
"9/30/2017 09:51:56","136","142.9","5.85","7.16","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:01","135.9","142.8","5.87","7.16","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:06","135.9","142.8","5.86","7.15","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:11","136","142.8","5.86","7.15","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:16","136","142.9","5.88","7.15","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:21","136","142.8","5.9","7.15","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:26","135.9","142.8","5.92","7.14","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:31","135.9","142.8","5.92","7.14","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:36","135.9","142.8","5.92","7.14","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:41","136","143","5.94","7.13","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:46","135.9","142.9","5.96","7.13","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:51","135.9","142.8","5.97","7.13","22.5","","LYON","LYON","STD"
"9/30/2017 09:52:56","135.9","142.9","6","7.13","22.5","","LYON","LYON","STD"
"9/30/2017 09:53:01","135.8","142.8","6.05","7.12","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:06","135.8","142.8","6.04","7.12","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:11","135.7","142.8","6.06","7.12","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:16","135.8","142.8","6.08","7.12","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:21","135.7","142.8","6.09","7.12","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:26","135.7","142.8","6.1","7.11","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:31","135.6","142.7","6.11","7.11","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:36","135.7","142.9","6.12","7.11","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:41","135.7","142.8","6.11","7.11","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:46","135.6","142.8","6.1","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:51","135.6","142.8","6.12","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:53:56","135.6","142.8","6.15","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:01","135.6","142.8","6.16","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:06","135.5","142.6","6.17","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:11","135.6","142.8","6.17","7.1","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:16","135.5","142.8","6.19","7.09","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:21","135.5","142.7","6.2","7.09","22.4","","LYON","LYON","STD"
"9/30/2017 09:54:26","135.5","142.7","6.25","7.09","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:31","135.5","142.8","6.26","7.09","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:36","135.5","142.8","6.27","7.09","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:41","135.5","142.7","6.28","7.08","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:46","135.6","142.8","6.3","7.08","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:51","135.5","142.8","6.28","7.08","22.3","","LYON","LYON","STD"
"9/30/2017 09:54:56","135.5","142.7","6.29","7.08","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:01","135.5","142.7","6.3","7.08","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:06","135.5","142.8","6.32","7.07","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:11","135.5","142.8","6.35","7.07","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:16","135.5","142.8","6.35","7.07","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:21","135.5","142.7","6.34","7.07","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:26","135.4","142.7","6.34","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:31","135.5","142.8","6.35","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:36","135.5","142.8","6.37","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:41","135.5","142.8","6.38","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:46","135.6","142.9","6.38","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:51","135.5","142.8","6.4","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:55:56","135.4","142.7","6.41","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:01","135.6","142.9","6.41","7.06","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:06","135.5","142.9","6.43","7.05","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:11","135.4","142.7","6.44","7.05","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:16","135.4","142.7","6.45","7.05","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:21","135.5","142.8","6.47","7.05","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:26","135.5","142.8","6.46","7.05","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:31","135.5","142.8","6.47","7.04","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:36","135.5","142.8","6.46","7.04","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:41","135.4","142.8","6.47","7.04","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:46","135.5","142.9","6.49","7.04","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:51","135.5","142.8","6.49","7.04","22.3","","LYON","LYON","STD"
"9/30/2017 09:56:56","135.4","142.7","6.5","7.04","22.3","","LYON","LYON","STD"
