"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Dissolved Oxygen (%)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"12/29/2017 10:47:46","102.9","112.7","102.7","7.77","20.5","","LYON","LYON","STD"
"12/29/2017 10:47:51","102.9","112.7","100.6","7.75","20.5","","LYON","LYON","STD"
"12/29/2017 10:47:56","103","112.7","100","7.75","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:01","103","112.7","99.1","7.73","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:06","102.9","112.7","98.3","7.72","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:11","102.9","112.6","97.7","7.72","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:16","102.9","112.7","98.1","7.7","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:21","102.9","112.7","98.4","7.7","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:26","103","112.7","97.5","7.69","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:31","103","112.7","97.7","7.68","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:36","102.9","112.7","97","7.66","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:41","103","112.7","96.8","7.66","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:46","103","112.7","96.6","7.65","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:51","103","112.7","95.3","7.64","20.5","","LYON","LYON","STD"
"12/29/2017 10:48:56","102.9","112.6","96.1","7.64","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:01","102.9","112.6","96.1","7.62","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:06","102.8","112.6","95.7","7.61","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:11","103","112.7","95.7","7.61","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:16","102.9","112.6","95.3","7.6","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:21","103","112.7","95.8","7.6","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:26","103","112.7","95.3","7.59","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:31","102.9","112.7","95.7","7.59","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:36","103","112.7","95.2","7.58","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:41","103","112.7","95.3","7.58","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:46","103","112.8","95.2","7.57","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:51","102.9","112.7","95.4","7.56","20.5","","LYON","LYON","STD"
"12/29/2017 10:49:56","103","112.7","94.9","7.55","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:01","103","112.7","95.1","7.54","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:06","103","112.7","95","7.53","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:11","103","112.8","95.2","7.53","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:16","103","112.7","95.4","7.52","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:21","102.9","112.7","95","7.52","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:26","103","112.7","95.3","7.52","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:31","103","112.7","95.7","7.52","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:36","103","112.7","94.8","7.51","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:41","103","112.7","94.5","7.51","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:46","102.9","112.7","95.1","7.5","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:51","103","112.8","95.2","7.5","20.5","","LYON","LYON","STD"
"12/29/2017 10:50:56","102.9","112.6","95.2","7.49","20.5","","LYON","LYON","STD"
