Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Dissolved Oxygen (%),pH_1 (Units),Temperature (C),Comment,Site,Folder,Unit ID
12/29/2017 10:53:22 AM,103.1,112.5,92.1,7.8,20.6,,KAHANA,,TEST
12/29/2017 10:53:28 AM,103.2,112.6,90.7,7.78,20.6,,KAHANA,,TEST
12/29/2017 10:53:33 AM,103.1,112.5,90.6,7.75,20.6,,KAHANA,,TEST
12/29/2017 10:53:38 AM,103.1,112.5,90.8,7.75,20.6,,KAHANA,,TEST
12/29/2017 10:53:43 AM,103.1,112.5,93,7.73,20.6,,KAHANA,,TEST
12/29/2017 10:53:48 AM,103.2,112.6,91.2,7.72,20.6,,KAHANA,,TEST
12/29/2017 10:53:53 AM,103.2,112.6,89.5,7.71,20.6,,KAHANA,,TEST
12/29/2017 10:53:58 AM,103.2,112.6,88.2,7.7,20.6,,KAHANA,,TEST
12/29/2017 10:54:03 AM,103.1,112.5,87.1,7.69,20.6,,KAHANA,,TEST
12/29/2017 10:54:08 AM,103.2,112.6,86.4,7.69,20.6,,KAHANA,,TEST
12/29/2017 10:54:13 AM,103.2,112.6,85.8,7.68,20.6,,KAHANA,,TEST
12/29/2017 10:54:18 AM,103.2,112.6,84.9,7.67,20.6,,KAHANA,,TEST
12/29/2017 10:54:23 AM,103.1,112.5,84.4,7.66,20.6,,KAHANA,,TEST
12/29/2017 10:54:28 AM,103.1,112.5,84.7,7.66,20.6,,KAHANA,,TEST
12/29/2017 10:54:33 AM,103.2,112.6,84.6,7.65,20.6,,KAHANA,,TEST
12/29/2017 10:54:38 AM,103.2,112.6,84.1,7.65,20.6,,KAHANA,,TEST
12/29/2017 10:54:43 AM,103.1,112.5,84.2,7.64,20.6,,KAHANA,,TEST
12/29/2017 10:54:48 AM,103.2,112.6,83.3,7.63,20.6,,KAHANA,,TEST
12/29/2017 10:54:53 AM,103.1,112.5,82.4,7.63,20.6,,KAHANA,,TEST
12/29/2017 10:54:58 AM,103.2,112.6,83,7.62,20.6,,KAHANA,,TEST
12/29/2017 10:55:03 AM,103.2,112.6,83.6,7.62,20.6,,KAHANA,,TEST
12/29/2017 10:55:08 AM,103.1,112.5,83.8,7.61,20.6,,KAHANA,,TEST
12/29/2017 10:55:13 AM,103.2,112.6,84.1,7.61,20.6,,KAHANA,,TEST
12/29/2017 10:55:18 AM,103.2,112.6,85.4,7.61,20.6,,KAHANA,,TEST
12/29/2017 10:55:23 AM,103.1,112.5,85.9,7.6,20.6,,KAHANA,,TEST
12/29/2017 10:55:28 AM,103.2,112.6,85.9,7.6,20.6,,KAHANA,,TEST
12/29/2017 10:55:33 AM,103.2,112.6,84.4,7.6,20.6,,KAHANA,,TEST
12/29/2017 10:55:38 AM,103.1,112.5,83.5,7.59,20.6,,KAHANA,,TEST
12/29/2017 10:55:43 AM,103.1,112.5,83.5,7.59,20.6,,KAHANA,,TEST
12/29/2017 10:55:48 AM,103.2,112.5,85,7.59,20.6,,KAHANA,,TEST
12/29/2017 10:55:53 AM,103.2,112.6,86.3,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:55:58 AM,103.2,112.5,86.9,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:56:03 AM,103.1,112.5,85.8,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:56:08 AM,103.2,112.6,84.3,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:56:13 AM,103.2,112.5,83.6,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:56:18 AM,103.2,112.6,82.5,7.58,20.6,,KAHANA,,TEST
12/29/2017 10:56:23 AM,103.1,112.5,81.5,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:28 AM,103.2,112.5,81.2,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:33 AM,103.2,112.5,80.4,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:38 AM,103.1,112.5,79.7,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:43 AM,103.1,112.5,79.5,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:48 AM,103.1,112.5,79,7.57,20.6,,KAHANA,,TEST
12/29/2017 10:56:53 AM,103.1,112.5,78.7,7.57,20.6,,KAHANA,,TEST
