"Timestamp","Barometer (kPA)","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Dissolved Oxygen (%)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"1/26/2018 09:18:01","99.65","116.8","126.8","103.8","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:18:07","99.65","116.8","126.8","104.3","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:12","99.65","116.9","126.9","104.2","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:17","99.65","116.9","126.9","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:22","99.66","116.8","126.8","103.7","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:18:27","99.65","116.9","126.9","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:32","99.65","116.8","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:37","99.64","116.9","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:42","99.65","116.9","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:47","99.65","116.8","126.8","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:52","99.66","116.9","126.9","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:18:57","99.66","116.9","126.9","103.5","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:02","99.65","116.8","126.8","103.3","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:07","99.65","116.9","126.8","103.6","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:19:12","99.65","116.9","126.8","103.4","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:17","99.65","116.8","126.8","103.5","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:19:22","99.65","116.9","126.8","103.4","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:19:27","99.65","116.8","126.8","103.4","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:19:32","99.65","116.8","126.8","103.9","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:19:37","99.65","116.9","126.8","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:42","99.65","116.9","126.8","103.8","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:47","99.65","116.9","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:52","99.66","116.9","126.8","103.1","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:19:57","99.66","116.9","126.8","103.3","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:02","99.66","116.9","126.8","104.2","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:07","99.65","116.9","126.8","103.6","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:12","99.66","116.9","126.8","103.7","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:20:17","99.65","116.9","126.8","103.8","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:22","99.65","116.9","126.8","103.6","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:20:27","99.65","116.9","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:32","99.65","116.9","126.9","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:37","99.65","116.9","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:42","99.65","116.9","126.8","103.5","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:47","99.65","116.9","126.8","103.3","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:52","99.65","116.9","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:20:57","99.66","116.9","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:21:02","99.65","116.9","126.8","103.7","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:21:07","99.65","116.9","126.8","103.7","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:21:12","99.65","116.9","126.8","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:21:17","99.65","116.9","126.8","103.7","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:21:22","99.65","116.9","126.8","104","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:21:27","99.65","116.9","126.8","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:21:32","99.66","116.9","126.8","103.8","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:21:37","99.65","116.9","126.8","103.3","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:21:42","99.66","116.9","126.9","104","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:21:47","99.66","116.9","126.8","104","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:21:52","99.64","116.9","126.8","103.2","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:21:57","99.65","116.9","126.8","103.4","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:02","99.65","116.9","126.8","103.2","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:07","99.64","116.9","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:12","99.65","116.9","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:17","99.65","116.9","126.8","103.8","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:22","99.65","116.9","126.8","103.2","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:27","99.64","116.9","126.9","103.3","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:32","99.64","116.9","126.8","103.9","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:37","99.65","117","126.9","103.9","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:42","99.64","116.9","126.8","103.7","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:22:47","99.64","116.9","126.9","103.8","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:22:52","99.64","116.9","126.8","103.9","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:22:57","99.65","116.9","126.8","103.8","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:02","99.65","116.9","126.8","103.9","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:23:07","99.65","116.9","126.8","104.2","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:12","99.65","116.9","126.8","103.7","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:23:17","99.64","116.9","126.8","103.6","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:22","99.65","116.9","126.8","104","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:27","99.65","116.9","126.8","103.8","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:32","99.65","116.9","126.8","103.8","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:37","99.64","116.9","126.8","103.9","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:42","99.64","116.9","126.8","103.9","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:47","99.64","116.9","126.8","103.6","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:52","99.65","117","126.9","103.7","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:23:57","99.65","116.9","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:02","99.65","116.9","126.8","103.3","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:07","99.65","116.9","126.8","103.7","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:12","99.65","117","126.8","103.5","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:17","99.65","116.9","126.8","103.7","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:22","99.65","117","126.8","103.6","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:27","99.65","116.9","126.8","103.3","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:32","99.65","116.9","126.8","103.3","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:37","99.64","117","126.9","103.4","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:42","99.64","116.9","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:47","99.64","116.9","126.8","103.7","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:24:52","99.65","116.9","126.8","103.8","7.01","20.9","","LYON","","TEST"
"1/26/2018 09:24:57","99.64","116.9","126.8","103.5","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:02","99.65","117","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:07","99.64","117","126.8","104","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:12","99.64","116.9","126.8","104","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:17","99.65","117","126.8","103.6","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:22","99.65","116.9","126.8","103.8","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:27","99.65","117","126.8","103.7","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:32","99.64","116.9","126.8","104","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:37","99.64","117","126.8","104.3","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:42","99.65","117","126.8","104.2","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:47","99.65","117","126.8","104.2","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:25:52","99.64","117","126.8","104.1","7.02","20.9","","LYON","","TEST"
"1/26/2018 09:25:57","99.65","116.9","126.8","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:02","99.65","117","126.9","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:07","99.64","117","126.9","104","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:12","99.65","117","126.8","104.2","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:17","99.65","117","126.8","104.1","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:22","99.64","117","126.8","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:27","99.64","117","126.8","104.2","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:32","99.66","117","126.8","104","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:37","99.65","117","126.8","103.6","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:42","99.65","117","126.8","103.9","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:47","99.64","117","126.8","104.2","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:26:52","99.65","117","126.8","104.2","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:26:57","99.66","117","126.9","104.2","7.03","20.9","","LYON","","TEST"
"1/26/2018 09:27:02","99.65","117","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:07","99.65","117","126.9","104.1","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:12","99.64","117","126.8","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:17","99.64","117","126.8","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:22","99.65","117","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:27","99.64","117","126.8","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:32","99.64","117","126.9","103.7","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:37","99.64","117","126.8","103.9","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:27:42","99.65","117","126.8","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:47","99.65","117","126.9","104.3","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:52","99.66","117","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:27:57","99.65","117","126.8","103.9","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:02","99.64","117","126.8","104","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:28:07","99.64","117","126.9","104","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:12","99.65","117","126.9","104.1","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:17","99.65","117","126.9","104.2","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:22","99.65","117","126.8","103.4","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:27","99.64","117","126.9","103.6","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:32","99.65","117","126.8","103.4","7.04","20.9","","LYON","","TEST"
"1/26/2018 09:28:37","99.65","117","126.8","103.8","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:28:42","99.66","117.1","126.9","103.8","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:28:47","99.65","117","126.9","103.9","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:28:52","99.64","117","126.8","103","7.05","21","","LYON","","TEST"
"1/26/2018 09:28:57","99.65","117","126.9","104.1","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:29:02","99.65","117.1","126.9","103.3","7.05","21","","LYON","","TEST"
"1/26/2018 09:29:07","99.65","117","126.9","103.4","7.05","21","","LYON","","TEST"
"1/26/2018 09:29:12","99.65","117","126.8","104","7.05","20.9","","LYON","","TEST"
"1/26/2018 09:29:17","99.64","117.1","126.9","103.5","7.05","21","","LYON","","TEST"
"1/26/2018 09:29:22","99.65","117.1","126.9","103.7","7.05","21","","LYON","","TEST"
