"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Dissolved Oxygen (%)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"5/16/2018 10:14:46","101.5","109.8","94.7","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:14:52","101.6","109.8","94.5","6.5","21.1","","LYON","","TEST"
"5/16/2018 10:14:57","101.5","109.8","94.5","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:02","101.5","109.8","94.6","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:07","101.6","109.8","94.4","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:12","101.6","109.8","94.4","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:17","101.6","109.8","94.6","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:22","101.6","109.8","94.3","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:27","101.5","109.8","94.5","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:32","101.6","109.8","94.3","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:37","101.6","109.8","94.3","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:42","101.6","109.8","94.4","6.49","21.1","","LYON","","TEST"
"5/16/2018 10:15:47","101.6","109.9","94.4","6.5","21.1","","LYON","","TEST"
"5/16/2018 10:15:52","101.7","109.9","94.2","6.5","21.1","","LYON","","TEST"
"5/16/2018 10:15:57","101.6","109.8","94.3","6.5","21.1","","LYON","","TEST"
"5/16/2018 10:16:02","101.6","109.8","94.4","6.5","21.1","","LYON","","TEST"
"5/16/2018 10:16:07","101.6","109.8","94.1","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:12","101.7","109.9","94.4","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:17","101.6","109.8","94.4","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:22","101.7","109.9","94.2","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:27","101.7","109.9","94.6","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:32","101.6","109.8","94.5","6.51","21.1","","LYON","","TEST"
"5/16/2018 10:16:37","101.7","109.8","94.6","6.52","21.1","","LYON","","TEST"
"5/16/2018 10:16:42","101.7","109.9","94.7","6.52","21.1","","LYON","","TEST"
"5/16/2018 10:16:47","101.6","109.8","94.4","6.53","21.1","","LYON","","TEST"
"5/16/2018 10:16:52","101.7","109.9","94.3","6.53","21.1","","LYON","","TEST"
"5/16/2018 10:16:57","101.7","109.9","94.5","6.53","21.1","","LYON","","TEST"
"5/16/2018 10:17:02","101.6","109.8","94.7","6.53","21.1","","LYON","","TEST"
"5/16/2018 10:17:07","101.7","109.9","94.6","6.54","21.1","","LYON","","TEST"
"5/16/2018 10:17:12","101.7","109.9","94.7","6.54","21.1","","LYON","","TEST"
"5/16/2018 10:17:17","101.7","109.9","94.6","6.54","21.1","","LYON","","TEST"
"5/16/2018 10:17:22","101.7","109.8","94.4","6.55","21.1","","LYON","","TEST"
"5/16/2018 10:17:27","101.7","109.9","94.4","6.55","21.1","","LYON","","TEST"
"5/16/2018 10:17:32","101.6","109.8","94.5","6.55","21.1","","LYON","","TEST"
"5/16/2018 10:17:37","101.7","109.9","94.5","6.55","21.1","","LYON","","TEST"
"5/16/2018 10:17:42","101.8","110","94.4","6.56","21.1","","LYON","","TEST"
"5/16/2018 10:17:47","101.7","109.9","94.8","6.56","21.1","","LYON","","TEST"
"5/16/2018 10:17:52","101.6","109.8","94.7","6.57","21.1","","LYON","","TEST"
"5/16/2018 10:17:57","101.8","109.9","94.6","6.57","21.1","","LYON","","TEST"
"5/16/2018 10:18:02","101.7","109.9","94.5","6.57","21.1","","LYON","","TEST"
"5/16/2018 10:18:07","101.7","109.8","94.5","6.58","21.1","","LYON","","TEST"
"5/16/2018 10:18:12","101.7","109.9","94.8","6.58","21.1","","LYON","","TEST"
"5/16/2018 10:18:17","101.7","109.8","94.6","6.59","21.1","","LYON","","TEST"
"5/16/2018 10:18:22","101.7","109.9","94.5","6.59","21.1","","LYON","","TEST"
"5/16/2018 10:18:27","101.7","109.8","94.4","6.59","21.1","","LYON","","TEST"
"5/16/2018 10:18:32","101.8","109.9","94.3","6.6","21.1","","LYON","","TEST"
"5/16/2018 10:18:37","101.8","109.9","94.5","6.6","21.1","","LYON","","TEST"
"5/16/2018 10:18:42","101.8","109.9","94.4","6.6","21.1","","LYON","","TEST"
"5/16/2018 10:18:47","101.8","109.9","94.3","6.61","21.1","","LYON","","TEST"
"5/16/2018 10:18:52","101.8","109.9","94.6","6.61","21.1","","LYON","","TEST"
"5/16/2018 10:18:57","101.7","109.8","94.4","6.61","21.1","","LYON","","TEST"
"5/16/2018 10:19:02","101.8","109.9","94.5","6.61","21.1","","LYON","","TEST"
"5/16/2018 10:19:07","101.8","109.9","94.5","6.62","21.1","","LYON","","TEST"
"5/16/2018 10:19:12","101.8","109.9","94.6","6.62","21.1","","LYON","","TEST"
"5/16/2018 10:19:17","101.8","109.9","94.5","6.62","21.1","","LYON","","TEST"
"5/16/2018 10:19:22","101.8","109.9","94.5","6.63","21.1","","LYON","","TEST"
"5/16/2018 10:19:27","101.8","109.9","94.5","6.63","21.1","","LYON","","TEST"
"5/16/2018 10:19:32","101.9","110","94.6","6.63","21.1","","LYON","","TEST"
"5/16/2018 10:19:37","101.8","109.9","94.6","6.63","21.1","","LYON","","TEST"
"5/16/2018 10:19:42","101.9","110","94.8","6.64","21.1","","LYON","","TEST"
"5/16/2018 10:19:47","101.8","109.9","94.4","6.64","21.1","","LYON","","TEST"
"5/16/2018 10:19:52","101.7","109.8","94.5","6.64","21.1","","LYON","","TEST"
"5/16/2018 10:19:57","101.9","110","94.6","6.64","21.1","","LYON","","TEST"
"5/16/2018 10:20:02","101.8","109.9","94.5","6.65","21.1","","LYON","","TEST"
"5/16/2018 10:20:07","101.9","110","94.4","6.65","21.1","","LYON","","TEST"
"5/16/2018 10:20:12","101.8","109.8","94.7","6.65","21.1","","LYON","","TEST"
"5/16/2018 10:20:17","101.8","109.9","94.6","6.65","21.1","","LYON","","TEST"
"5/16/2018 10:20:22","101.8","109.9","94.8","6.66","21.1","","LYON","","TEST"
"5/16/2018 10:20:27","101.8","109.9","94.1","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:32","101.9","110","94.2","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:37","101.8","109.9","94.2","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:42","101.9","109.9","94.1","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:47","101.8","109.9","94.3","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:52","101.9","109.9","94.2","6.66","21.2","","LYON","","TEST"
"5/16/2018 10:20:57","101.9","109.9","94.1","6.67","21.2","","LYON","","TEST"
"5/16/2018 10:21:02","101.8","109.9","94.3","6.67","21.2","","LYON","","TEST"
"5/16/2018 10:21:07","101.9","109.9","94.3","6.67","21.2","","LYON","","TEST"
"5/16/2018 10:21:12","101.8","109.9","94.2","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:17","101.9","109.9","94.3","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:22","101.9","110","94.3","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:27","101.9","110","94.3","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:32","101.9","109.9","94.3","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:37","101.8","109.9","94.1","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:42","101.9","109.9","94.4","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:47","101.8","109.9","94.4","6.68","21.2","","LYON","","TEST"
"5/16/2018 10:21:52","101.9","109.9","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:21:57","101.9","109.9","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:02","101.9","110","94.3","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:07","101.9","110","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:12","101.9","110","94.1","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:17","101.9","109.9","94.1","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:22","101.9","109.9","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:27","101.9","110","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:32","101.9","109.9","94.1","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:22:37","101.9","110","94.4","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:42","101.8","109.9","94.5","6.69","21.2","","LYON","","TEST"
"5/16/2018 10:22:47","101.9","109.9","94.3","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:22:52","101.9","109.9","94.2","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:22:57","101.9","109.9","94.5","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:23:02","102","110","94.5","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:23:07","102","110","94.3","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:23:12","101.9","110","94.3","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:23:17","101.9","109.9","94.6","6.7","21.2","","LYON","","TEST"
"5/16/2018 10:23:22","101.9","109.9","94.3","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:27","101.9","109.9","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:32","102","110","94.3","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:37","101.9","109.9","94.3","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:42","101.9","110","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:47","101.9","110","94.4","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:52","101.9","109.9","94.3","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:23:57","102","110","94.4","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:02","101.9","110","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:07","101.9","110","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:12","101.9","109.9","94.4","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:17","102","110","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:22","102","110","94.5","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:27","102","110","94.6","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:24:32","102","110","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:24:37","102","110","94.4","6.71","21.2","","LYON","","TEST"
"5/16/2018 10:24:42","102","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:24:47","102","110","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:24:52","102","110","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:24:57","101.9","110","94.1","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:02","102","110.1","94.2","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:07","102","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:12","102","110","94.3","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:17","102","110","94.3","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:22","102","110.1","94.2","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:27","102","110","94.3","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:32","101.9","110","94.1","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:37","102","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:42","102","110","94.3","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:47","102","110.1","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:52","102","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:25:57","101.9","110","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:02","102","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:07","102","110","94.2","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:12","102","110.1","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:17","102.1","110.1","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:22","102","110.1","94.6","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:27","101.9","110","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:26:32","102","110","94.3","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:26:37","102","110.1","94.1","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:26:42","102.1","110.1","94","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:26:47","102","110","94.2","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:26:52","102.1","110.1","94.3","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:26:57","102","110.1","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:02","102.1","110.2","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:07","102.2","110.2","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:12","102.3","110.4","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:17","102.5","110.6","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:22","103.1","111.2","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:27","103.5","111.7","94.2","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:27:32","104.6","112.8","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:37","105.6","113.9","94.2","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:42","107.5","115.9","94.1","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:27:47","109.6","118.2","94.1","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:27:52","111.6","120.4","94","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:27:57","115.9","125","94.1","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:02","120","129.4","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:07","124.4","134.1","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:12","128.4","138.5","94.5","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:17","134","144.5","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:22","140","150.9","94.3","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:27","147.6","159.2","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:32","154.3","166.3","94.2","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:28:37","162","174.7","94.4","6.72","21.2","","LYON","","TEST"
"5/16/2018 10:28:42","166.3","179.3","94.4","6.74","21.2","","LYON","","TEST"
"5/16/2018 10:28:47","170","183.3","94.4","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:28:52","175.7","189.4","94.5","6.74","21.2","","LYON","","TEST"
"5/16/2018 10:28:57","182.9","197.2","94.3","6.73","21.2","","LYON","","TEST"
"5/16/2018 10:29:02","190.6","205.5","94.5","6.74","21.2","","LYON","","TEST"
"5/16/2018 10:29:07","196.4","211.7","94.6","6.75","21.2","","LYON","","TEST"
"5/16/2018 10:29:12","200.9","216.6","94.5","6.76","21.2","","LYON","","TEST"
"5/16/2018 10:29:17","208.3","224.6","94.2","6.76","21.2","","LYON","","TEST"
"5/16/2018 10:29:22","212.4","229","94.4","6.76","21.2","","LYON","","TEST"
"5/16/2018 10:29:27","218","235","94.5","6.77","21.2","","LYON","","TEST"
"5/16/2018 10:29:32","221.3","238.6","94.3","6.77","21.2","","LYON","","TEST"
