"Timestamp","Barometer (kPA)","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Dissolved Oxygen (%)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"1/26/2018 09:22:54","99.61","114.8","124.7","104.1","8.23","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:00","99.61","114.8","124.7","103.8","8.2","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:05","99.61","114.8","124.7","102.8","8.17","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:10","99.6","114.8","124.7","103.5","8.15","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:15","99.6","114.9","124.8","103.7","8.14","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:20","99.61","114.9","124.8","103.3","8.12","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:25","99.6","114.8","124.7","102.2","8.1","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:30","99.6","114.8","124.7","102.4","8.08","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:35","99.61","114.8","124.7","102.4","8.06","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:40","99.6","114.8","124.8","102.6","8.04","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:45","99.61","114.9","124.8","103.2","8.03","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:50","99.6","114.9","124.8","102.8","8.02","20.8","","LYON","LYON","STD"
"1/26/2018 09:23:55","99.6","114.8","124.7","102.6","8","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:00","99.6","114.9","124.8","104","7.98","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:05","99.61","114.9","124.8","103.4","7.97","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:10","99.6","114.8","124.7","102.5","7.96","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:15","99.6","114.8","124.7","103.6","7.94","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:20","99.61","114.8","124.7","103.3","7.94","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:25","99.6","114.8","124.7","103.2","7.92","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:30","99.6","114.8","124.7","102.9","7.9","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:35","99.6","114.8","124.7","102.6","7.89","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:40","99.6","114.9","124.8","101.8","7.89","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:45","99.6","114.9","124.8","101.6","7.87","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:50","99.6","114.7","124.6","103","7.87","20.8","","LYON","LYON","STD"
"1/26/2018 09:24:55","99.6","114.8","124.7","103.9","7.86","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:00","99.61","114.8","124.7","103.3","7.85","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:05","99.61","114.8","124.7","102.8","7.84","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:10","99.61","114.7","124.7","102.2","7.82","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:15","99.6","114.8","124.7","102.6","7.81","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:20","99.6","114.8","124.7","102.9","7.79","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:25","99.6","114.8","124.7","102.5","7.79","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:30","99.61","114.7","124.6","102.2","7.78","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:35","99.6","114.9","124.8","103.1","7.77","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:40","99.6","114.7","124.6","102.5","7.76","20.8","","LYON","LYON","STD"
"1/26/2018 09:25:45","99.6","114.8","124.7","102.4","7.75","20.8","","LYON","LYON","STD"
