Date Station Start_Time End_Time FlowMeter_Time FlowMeter_Discharge_cms SaltInjection_Discharge_cms Weather
2016-10-01 LYON 11:39 12:50 11:39 0.0209 0.0294172761643635 rainy
2016-10-08 LYON 11:00 12:20 11:00 0.0125 0.0131913041042207 cloudy
2016-10-15 LYON 11:48 14:20 11:48 0.0019 0.00691966899336075 sunny
2016-10-26 LYON 14:29 16:29 14:29 0.0044 0.00679864369701942 cloudy
2016-11-05 LYON 10:00 11:17 10:00 0.0033 0.00838051459975411 NA
2016-11-26 LYON 10:00 11:13 10:00 0.0232 0.0299978660964083 NA
2017-09-08 LYON 11:50 15:08 11:50 0.0022 0.001933848620057 cloudy/rain
2017-09-30 LYON 10:00 12:27 10:00 2e-04 0.00253408903756101 sunny
2017-12-29 LYON 11:05 12:36 11:05 0.0314 0.028067296179591 light_rain_with_sometimes_sun
2018-01-26 LYON 09:34 11:35 09:34 0.016 0.0138405732028715 sunny
2018-03-02 LYON 13:22 13:59 13:22 0.1885 0.21693423271471 cloudy
2018-05-16 LYON 10:12 11:41 10:12 0.022 0.0249119358780054 cloudy but rain earlier
